n,count(DISTINCT r)
"{date:1994/1/20,paperId:9401295}",5
"{date:None,paperId:110012}",27
"{date:1997/6/27,paperId:9706529}",55
"{date:1998/5/22,paperId:9805424}",77
"{date:1999/5/18,paperId:9905382}",1
"{date:1999/7/27,paperId:9907520}",105
"{date:1996/4/7,paperId:9604258}",8
"{date:None,paperId:212014}",1
"{date:1994/6/20,paperId:9406346}",39
"{date:None,paperId:207188}",42
"{date:1997/8/20,paperId:9708419}",64
"{date:None,paperId:207216}",2
"{date:1999/6/24,paperId:9906475}",123
"{date:None,paperId:9117}",9
"{date:1994/4/26,paperId:9404342}",51
"{date:1998/9/13,paperId:9809361}",1
"{date:None,paperId:207085}",13
"{date:1996/7/5,paperId:9607248}",9
"{date:1999/2/2,paperId:9902227}",18
"{date:1998/2/19,paperId:9802360}",3
"{date:1992/7/7,paperId:9207217}",53
"{date:1998/7/29,paperId:9807532}",7
"{date:1996/10/15,paperId:9610373}",26
"{date:1995/1/10,paperId:9501259}",6
"{date:None,paperId:108184}",12
"{date:None,paperId:3056}",9
"{date:None,paperId:107328}",6
"{date:None,paperId:302096}",4
"{date:1999/10/5,paperId:9910239}",18
"{date:None,paperId:101147}",30
"{date:1998/8/11,paperId:9808302}",2
"{date:1997/10/23,paperId:9710449}",1
"{date:1996/7/16,paperId:9607337}",8
"{date:1999/2/10,paperId:9902309}",10
"{date:None,paperId:1236}",12
"{date:None,paperId:206087}",45
"{date:None,paperId:203044}",8
"{date:1992/10/2,paperId:9210207}",1
"{date:1997/6/27,paperId:9706521}",1
"{date:None,paperId:12003}",9
"{date:1997/1/27,paperId:9701385}",9
"{date:None,paperId:6327}",25
"{date:None,paperId:107244}",1
"{date:1996/3/7,paperId:9603248}",12
"{date:None,paperId:102261}",14
"{date:1998/2/2,paperId:9802213}",18
"{date:None,paperId:9348}",17
"{date:1998/11/26,paperId:9811484}",21
"{date:None,paperId:6085}",25
"{date:1998/6/30,paperId:9806526}",47
"{date:1999/8/26,paperId:9908474}",22
"{date:1996/5/31,paperId:9605459}",8
"{date:None,paperId:201036}",59
"{date:1998/2/25,paperId:9802424}",28
"{date:1994/11/1,paperId:9411204}",18
"{date:None,paperId:6044}",5
"{date:1996/2/13,paperId:9602287}",91
"{date:None,paperId:3086}",73
"{date:1997/5/27,paperId:9705440}",58
"{date:1997/7/6,paperId:9707257}",5
"{date:None,paperId:105129}",29
"{date:1997/3/14,paperId:9703319}",77
"{date:1995/11/2,paperId:9511212}",4
"{date:1998/10/19,paperId:9810397}",62
"{date:1993/5/28,paperId:9305344}",7
"{date:1996/4/20,paperId:9604373}",1
"{date:1994/7/20,paperId:9407336}",29
